Question,Answer
"I have secured a placement in a school setting that is not a regional, remote or low socioeconomic school. If I am successful in my application will you help me change to a STARS-approved school setting?",We will be open to discuss this with you further.
I am a Master of Teaching (Secondary) student applying for the STARS program. Does it matter the year level of placement or my Specialist Teaching Area?,"No, we will work with the schools upon a successful application."
What if I have already organised my placement/s? Can I still participate in the program?,"Provided your secured placement is in regional, rural or low socioeconomic Victorian school and you have been successful in your STARS application, Swinburne can support negotiations with your placement setting to ascertain if they wish to be part of the program."
How do I organise a placement in a STARS-approved school setting?,Victorian Department of Education and Training (DET) will be supporting Swinburne to access and source the placement schools on your behalf.
What schools can I do my placement in as part of the STARS program?,"The STARS program placement schools can be in regional and rural or low socioeconomic schools in Victoria that will be selected by Swinburne, with pre-service teachers matched to schools."
How many practicums will I need to complete during the STARS program?,"During the year the program runs (mid-year 2022 to mid-year 2023), you must undertake both remaining placements (or the one remaining), in your course during this time."
How will the STARS program fit in with my current units of study?,"This program will run alongside your current units of study.

You will be enrolled into a STARS program unit. The unit is at no cost to you.
Introductions to the STARS program are planned to commence in late May/early June.

The STARS unit will commence from June.

There are five modules of additional study and activities supported by academic teacher mentors.
Engagement with the modules will be periodic, and is planned to occur between June to October 2022.

The workload per module is anticipated to be approximately 10 hours over two to three weeks for each module. 

More specific details will be provided to successful applicants."
How many pre-service teachers can partake in the STARS program for 2022–2023 year?,This opportunity is only open to 75 students and therefore a rigorous selection process will take place.
When does the STARS program commence?,"The STARS program commences mid-year 2022 (TP2, Q3)."
What if I want to continue studying after 1 December 2020?,"You can.  If you wish to continue studying the course after 1 December 2020, you will be eligible for a Commonwealth Supported Place for the rest of your studies."
Can I enrol in a Professional Certificate?,"Not exactly. The federal government is providing discounts for students who are enrolled in qualifications recognised by the Australian Qualification Framework. This means, to ensure you receive the discounted course fee, you need to enrol in at least a graduate certificate level qualification. If you only complete the first two units, Swinburne is ensuring that you still receive a qualification by awarding you a professional certificate."
What is a Professional Certificate?,"Professional Certificates are generally the first two units of a Graduate or Undergraduate Certificate and provide you with solid introductory knowledge, as well as contributing to the higher degree should you wish to continue studying later. Professional Certificates are a good way of upskilling quickly and providing you with an opportunity to start your education journey at a discounted fee."
What if I only want to complete two units?,"If you enrol in the Graduate Certificate, you can choose to complete your studies after the first two units and exit with a University-accredited Professional Certificate."
Can I obtain help to defer payment?,"Yes, students can defer their payment though a HECS-HELP loan."
How do I ensure I’m enrolled with a discounted fee?,Your discounted fee will be applied at the time of enrolment.
Why are these courses discounted?,"Swinburne University has worked with the Federal Government to provide short, focused online courses to workers displaced by the COVID-19 crisis. These courses have been significantly discounted to allow you to complete study during the next 6 months and support your future employment opportunities."
What is the entry criteria?,"Undergraduate Certificate of Information and Communication TechnologyTeaching Period 2 July – NovemberCOS10005 Web Development

ICT10001 Problem Solving with ICTTeaching Period 3 November – FebruaryINF10002 Database Analysis and Design

INF10003 Introduction to Business Information SystemsGraduate Certificate of Management (Workplace Transformation)Teaching Period 2 July – NovemberHRM60016 Behaviour in Organisations

INF80042 Technology Essentials for ManagersTeaching Period 3 November – FebruaryFST80008 Designing for Change

MGT60044 Leading Innovation in the Workforce"
What units will I study?,Undergraduate Certificate of Information and Communication TechnologyTeaching Period 2 July – NovemberCOS10005 Web DevelopmentICT10001 Problem Solving with ICTTeaching Period 3 November – FebruaryINF10002 Database Analysis and DesignINF10003 Introduction to Business Information SystemsGraduate Certificate of Management (Workplace Transformation)Teaching Period 2 July – NovemberHRM60016 Behaviour in OrganisationsINF80042 Technology Essentials for ManagersTeaching Period 3 November – FebruaryFST80008 Designing for ChangeMGT60044 Leading Innovation in the Workforce
Is the whole course discounted?,"Units you complete prior to 1 December are discounted, so this includes the two units available in Teaching Period 2, 2020. If you continue studying following Teaching Period 2, you can do so with a Commonwealth Supported Place, rather than the standard full fee unit fee."
Will you be offering courses as part of the government’s higher education relief package?,"Yes, we will be offering a range of courses as part of this initiative. Read more about ourpriority courseprogram."
Will I receive the same qualification as an on-campus student?,"When students graduate from our courses, they will receive the same accredited qualification as a Swinburne University of Technology on-campus student. The graduation certificate awarded will also be the same. Our courses and learning outcomes are the same as Swinburne University of Technology’s, but we adapt the material and its delivery to enable students to enjoy the most engaging online environment."
Will I receive credit for my previous studies?,"We can potentially offer students unit exemptions for our undergraduate courses, based on diploma and higher education qualifications undertaken within the last 10 years.Previous studies don’t necessarily need to be related to the field you’re looking to pursue with us to make you eligible for exemptions. We can also award unit exemptions towards our postgraduate courses, where previously completed studies are considered academically equivalent (i.e. postgraduate level) and have been completed within the last 10 years.TAFE students may be eligible to receive credit for previous study and work experience. If you’ve completed units or certificates at another recognised institute or training organisation, you may be able to apply for a credit transfer. Alternatively, if you have significant work experience related to your studies, you can apply to have this recognised through recognition of prior learning."
Will I need to be screened to work with children?,Anyone who works with children in Australia must have a valid Child Safety Screening Check. To ensure your placements run smoothly and there are no delays in your course progression make sure you complete the Child Safety Screening Check requirements for your state as soon as you enrol. You will have access to instructions for your state once you’re enrolled in your course.
Will I need to attend placements to complete the Diploma of Nursing?,"The majority of your learning will be completed online, however you will also have the opportunity to attend Simulation Labs and Clinical Placements during your course. These aspects incorporate essential practical and experiential learning elements to your learning and better prepare you for working as a nurse. Students are required to achieve a minimum of 400 hours of Clinical Placement throughout the course’s two-year duration."
Will I have to sit exams in the Diploma of Nursing?,"Yes, some of your units in the Diploma of Nursing course require you to sit exams. More information about exams and your study support options will be discussed on orientation day."
Will I ever need to go to a campus?,"We provide you with everything you need to complete your studies online, however, you have access to all the facilities the campus has to offer."
Will I be studying alone?,"We know how important it is to have a supportive and collaborative network around you when you’re studying.

When you choose your units, we’ll enrol you into an online class of 20-25 students. Small class sizes ensure that you receive quick and effective feedback from tutors. You will also be encouraged to collaborate on discussion boards with other students."
Will I be charged interest on my HECS-HELP loan?,"There is no interest charged on a HECS‑HELP loans, but your debt will be indexed each year. The indexation adjustment is made by the Australian Taxation Office on 1 June each year and applies to the portion of your debt that has been unpaid for 11 months or more. For more information seeInterest and indexation."
Why is the Diploma of Nursing changing?,"In late 2020, the federal Government announced changes to the current national health training package. As a result, Vocational Education and Training (VET) providers across Australia are now required to update their courses to implement these changes, including Swinburne Online.

This is in effort to enhance VET qualifications and ensure students are developing the skills that employers require in the future."
Why is Swinburne Online a good study option during isolation?,"The courses we offer have been designed specifically for online consumption. You’ll study in a purpose-built virtual classroom with extended hours of support, allowing you to study whenever you like. With over 10,000 students currently studying with us, you can rest assured that our online study has been tried, tested and approved by many. All you need is an internet connection."
Who can I contact for support during my studies?,"Your academic and student support teams are here to assist you with different aspects of your studies. Your Vocation Learning Advisor (VLA) is your go-to person to help you through your learning journey. Your VLA is extremely experienced, is a Registered Nurse and a qualified Training and Assessor. You will also have Student Advisors available seven days a week to assist with any general queries you may have, including those about your enrolment details, placements, exams and academic performance."
Who can help me put together a study plan for my course?,"OurCourse Consultantsare always happy to recommend a study load and specific units for you to start off with based on your needs before you begin your degree with us. Once you are enrolled, you can contact one of ourStudent Advisorsat any time and they can help you set yourself up with a study plan designed to maximise your success."
Who can help me if I am having technological difficulties?,"When completing your degree, there is a vast amount of technical support at your disposal, both on our website and through our support team. If you can’t find what you need on our Student PortalTechnical Support sectionthen get in touch with one of ourStudent Advisorson 1300 937 765 from Australia, +61 3 9956 0777 for Australian citizens living overseas and 800 8001 1222 for international students, anytime between 9am–9pm (AEST) Monday to Friday and 10am–6pm (AEST) on weekends and public holidays."
Which units should I start with?,"When you enrol to study a degree with us, you will nominate how many units you would like to select per teaching period, based on a recommendation from one of ourCourse Consultants. From here, our enrolments team will allocate you automatically to the units they feel will be best suited to your needs, so you don’t need to worry about choosing units. If you want to choose something different than what you are allocated to, that is no problem, just get in touch with our Student Advisors and they will take care of it for you."
Which units can I take as electives?,"Students are free to choose their elective units from any degree, as long as the unit doesn’t have a pre-requisite requirement that the student hasn’t met."
Where can I study online from?,"Swinburne Online takes domestic students for both degrees and TAFE diplomas from anywhere in Australia. International students are also accepted for our degrees, although some differences to their payment processes will apply."
Where can I go for career advice?,"Our Centre for Career Development is a one-stop shop for students looking for career advice and guidance. You’ll not only get assistance with career planning, you’ll also receive advice and discover avenues to develop experience and skills outside university – all giving you the advantage in the job application process. And once you’ve entered the job market, you will still be able to get in touch with the Centre for advice on how to further develop your career into the future. For more information visit our Centre for Career Development page."
Where can I get important information about the VET Student Loan Program?,"You must read theVET Student Loans Information Bookletbefore applying for a loan. A VET student loan results in a HELP debt that continues to be a debt due to the government until it is repaid. You will start repaying the loan when you reach the minimum repayment threshold.

The rate at which you repay the loan is based on your income, as you earn more you will repay a higher percentage of your taxable income towards your loan. Check theStudy Assistwebsite to find out more. We encourage you to seek independent financial advice to be sure a VET Student Loan is right for you."
Where can I get English language support?,"As a Swinburne student studying online you have access toStudiosity, an independent tutoring service that offers constructive essay feedback in less than 24 hours. Submit your draft essay or report to get expert feedback on academic writing, structure, flow and use of research to help develop your English language skills."
Where can I get assessment support?,"Aside from the Student Advisors, we offer independent assessment feedback viaStudiosity. Studiosity is an online tutoring service that offers constructive essay feedback in less than 24 hours. Submit your draft essay or report to get expert feedback on academic writing, structure, flow and use of research.

If you’re enrolled in a VET course you will access assessment support in Canvas – your online learning environment. A dynamic live chat means you can find out who else is online at the same time as you and ask other students questions. There is also a discussion board where you can post questions that will be answered by a pool of industry trained teachers, waiting to help you."
Where can I find out more about VET Student Loans?,More information is available atVET Student Loans.
Where are Swinburne Online’s exam centres located?,"Exams are held in Australian capital cities or regional centres based on the number of candidates in that location. Venues within these cities will be selected based on their central location and proximity to public transport. Some capital cities may not be established as examination centres due to low candidate numbers. For more information, view ourwebsite."
When will Swinburne Online be releasing the new Diploma of Nursing?,ANMAC (Australian Nursing and Midwifery Accreditation Council) are reviewing submissions to teach the new course packaging. This is likely to be in place in early 2022.
When is the cut-off date for enrolment?,"If you are applying to study a degree at Swinburne Online, enrolments close approximately 10 days before the start of each teaching period. Our teaching periods run three times a year, from March to June, July to October and November to February. For TAFE students, you can enrol at any time and begin your self-paced studies at a variety of start dates that suit you. For full details about start dates, visit ourkey datespage."
What’s changing in the Diploma of Nursing?,"The learning outcomes will remain the same, with students gaining a nationally recognised qualification. The changes follow industry review and aim to better align student outcomes:To current and evolving best-practiceTo support learners in an increasingly digital environment.The regulatory bodies review and update these courses every five years to ensure students can:Keep pace with rapidly changing industry needsRespond to future skillsReflect industry practice."
What sort of career prospects do I have with an online qualification?,"As a graduate of Swinburne Online, you receive the same accredited qualification as an on-campus student, meaning you have the same skills and knowledge as them. This means with an online degree you have the same career prospects as an on-campus graduate of Swinburne University of Technology, which is in the top 3% of universities worldwide.

TAFE study is designed to give you the skills you need to help take your career to the next level. A Swinburne Online TAFE qualification builds upon your industry experience, and gives you the formal skills and knowledge needed to take on a more senior role or change careers. For more information read how you canAdvance your Career."
What resources are available to alumni once they have graduated?,"Swinburne University of Technology provides its alumni the following benefits and services: networking events with alumni both in Australia and around the world, continued access to career support, discounted professional development programs, notifications of new courses, qualifications and scholarships and access to commercial discounts and special offers. To find out more ways that you can stay connected with Swinburne alumni and their networking programs, visit ourAlumni Resourcespage."
What level of English language proficiency do I need to study an undergraduate degree at Swinburne Online?,It is expected that applicants have proficient English skills. We recommend the below levels in anEnglish language testsuch as IELTS or TOEFL to ensure you are successful at university study:For paper based TOEFL tests a score of 550 with a written English score of 5For Internet based TOEFL tests a score of 79 with no band below 18.International English Language Test System (IELTS) course specifications:Undergraduate Business courses require an IELTS score of 6 with no band below 6Undergraduate Media and Communication courses require an IELTS score of 6 with no band below 6Undergraduate Social Science requires an IELTS score of 6 with no band below 6Undergraduate Psychological Sciences requires an IELTS score of 6.5 with no band below 6Undergraduate Education requires an IELTS score of 6.5 with no band below 6Further informationon English requirements
What level of English language proficiency do I need to study a Masters at Swinburne Online?,"It is expected that applicants have proficient English skills. You should have a bachelor degree or equivalent (at least three years) studied in English, or have completed year 12 English in Australia.

You must meet the below levels in an English language test such as IELTS, ISLPR or PEAT to ensure you are successful:Achievement in the International Second Language Proficiency Rating (ISLPR) of Level 4 in all four areas of speaking, listening, reading, writing from an approved testing site.Achievement of a score A in all four areas of speaking, listening, reading, and writing in the Professional English Assessment for Teachers (PEAT) test.International English Language Test System (IELTS) course specifications:Master of Professional Accounting requires IELTS 6.5 no band below 6Master of Business Administration (MBA) requires IELTS 6.5 no band below 6Masters of Teaching requires IELTS of 7.5 and the following scores for each component Speaking 8.0, Listening 8.0, Reading 7.0, Writing 7.0"
What kind of support do you offer to your online students?,"We have a whole variety of support options available to students seven days a week, so no one is ever left feeling alone.

For students studying a degree with us, your small online class of 20–24 students is run by a dedicated online tutor (eLearning Advisor), who will always be happy to respond to your questions.

Our Student Advisors (SAs) are a team of academic/technical and administrative specialists who can be contacted seven days a week. They can help with issues from advice on assignments to problems with logging in to the Student Hub.

We also have online assessment support options that will cater to a range of academic needs. To find out more about our university support options, visit the student support page on our website."
What is VET?,"Vocational Education and Training (VET) is focused on providing students with specific job related and technical skills. Qualifications include certificates, diplomas and advanced diplomas and take less time to complete than a university degree. Nationally recognised VET qualifications cover a wide range of industries, from business and management to trades, retail and hospitality."
What is Undergraduate Study?,"Undergraduate study is a term used to describe formal, accredited tertiary education achievements. Studied at a university, higher education institution or college, an undergraduate degree will usually be your first university degree, such as a bachelor degree and will take between three and four years of full-time study (or part-time equivalent) to complete."
What is the Tableau Desktop Certified Specialist certification?,"The Tableau Desktop Certified Specialist certification is an industry-recognised qualification that demonstrates your comprehensive knowledge and abilities in Tableau application. This certification does not expire and does not need to be renewed.

For more information, please visit theTableau Desktop Certified Specialist Certificationpage."
What is the Student Amenities Help fee for and why do I have to pay it?,"Our students do have access to Swinburne’s campus facilities, including our libraries and this means they are required to pay a Student Amenities fee like all university students in Australia. For students who aren’t based in Victoria, we have an agreement with 34 institutions that our online students have access to. The program is called ULANZ and more information is available here: ULANZ website"
What is the relationship between Swinburne University of Technology and Swinburne Online?,"Swinburne Online was born out of a joint venture between SEEK.com.au and Swinburne University of Technology. We focus on providing you with industry-ready qualifications, from a university withover 100 years of history. Swinburne Online students receive the same qualification as students at Swinburne University of Technology, an internationally ranked university with 30,000 students across its Melbourne and overseas campuses."
What is the difference between a degree and a diploma?,"Offered by universities, TAFEs, Registered Training Organisations and Community Education Centres, a diploma is a practical qualification, while a degree is typically offered by universities and encompasses more academic courses. For more information about the different qualifications, visit ourOnline Coursespage."
What is TAFE?,"Technical and Further Education (TAFE) is the term used to describe certain state-administered education institutions. Such institutions provide Vocational Education and Training (VET) and qualifying courses under the National Training System, Australian Qualifications Framework and Australian Quality Training Network.

A Registered Training Organisation (RTO) is an organisation accredited by the Australian Skills Quality Authority (ASQA) which is the national regulator for Australia’s vocational education and training sector. ASQA regulates courses and training providers to ensure nationally approved quality standards are met."
What is Postgraduate Study?,"Postgraduate study is a term generally used to describe tertiary education courses available to students who have already completed a bachelor degree or have significant relevant work experience. Postgraduate study takes the form of either coursework or research.

Coursework consists of a program of academic study to achieve one or more of the following:Graduate CertificateGraduate DiplomaPostgraduate DiplomaMaster by CourseworkProfessional MasterProfessional DoctorateTaking a research approach to postgraduate study entails conducting research and providing a thesis to earn a:Master by Research orDoctor of Philosophy (PhD)."
What is online education?,"Online education utilises breakthrough web technologies to deliver academic courses. When undertaking online study, students may use a range of tools such as webinars, videos, chat sessions and e-texts to deliver content.

Assessments can be undertaken synchronously or asynchronously. Synchronous learning refers to situations where online participation from a student is required at a certain time. This may involve a live discussion session with an online tutor, or a presentation which is only available to be viewed at that time. Asynchronous learning involves study where the event is not in a live format, but it may still have a loose timeframe, for example: an assessment that will be accessible at any time over a week long period. Both of these learning styles are utilised to their optimum when studying with Swinburne Online."
What is Higher Education?,"Higher education encompasses Bachelor level degrees and above and is offered by universities. Whether you’re entering or re-entering the workforce, changing career paths or simply want to broaden your expertise, higher education will help you achieve your career goals with courses ranging from bachelor degrees, masters degrees, doctorates and more. Each course requires different commitments in terms of time, cost and pre-requisite or foundation study or experience."
What is HECS-HELP?,"The HECS‑HELP scheme can benefit an undergraduate domestic student (for example an Australian citizen studying a Bachelor degree at Swinburne Online) as a student loan. Instead of paying upfront, HECS-HELP is how eligible students can pay their student contribution amount."
What is Distance Education?,"Distance education (sometimes known as learning by correspondence) is a broad term that describes education delivered to a student who is in a separate location to the source of the academic content. This method of education has been around since the 1800s and in comparison withonline education, which is offered by Swinburne Online, it is often viewed by professionals as outdated. The mode of delivery traditionally involves sending the course materials and assessments back and forth between the student and learning institution in hard copy. Many distance education programs require the student to attend classes or workshops on campus at some stage during the semester."
What is an Honours Degree?,"You can graduate with honours from a Bachelor Degree by undertaking an additional year of study, generally requiring you to complete a research project and submit a thesis, thereby positioning you for further research studies."
What is an e-Learning Advisor and how can I contact them?,"At Swinburne Online, each unit you study will be run by an online tutor with years of industry experience. The tutors are called e-Learning Advisors and they have been trained to teach specifically in an online environment. You can contact your e-Learning Advisor via the discussion boards in the student portal, or via email for a timely response."
What is a virtual classroom?,"For students studying a degree, a virtual classroom is the online space where your learning will take place. You’ll participate in interactive learning activities, access online reading, watch instructional videos and interact with your fellow students. Plus, class sizes are kept small so you get the personalised support you need."
What is an e-Learning Advisor and how can I contact them?,"At Swinburne Online, each unit you study will be run by an online tutor with years of industry experience. The tutors are called e-Learning Advisors and they have been trained to teach specifically in an online environment. You can contact your e-Learning Advisor via the discussion boards in the student portal, or via email for a timely response."
What is a specialisation?,"A specialisation is a prescribed set of units within an area. Specialising in a second discipline, particularly one that complements your major, can complement your qualiﬁcation and employment prospects. However, a specialisation is an area of interest not an accredited major."
What is a pre-requisite?,"A pre-requisite subject is a subject or sequence of subjects which must be completed before choosing a subsequent unit or course. For example, an undergraduate student cannot choose postgraduate units at Swinburne Online."
What is a PhD?,"A Doctor of Philosophy, or PhD, is a globally recognised qualification that’s considered the highest postgraduate achievement an individual can earn. To be awarded with a PhD, you must select a specific subject within your chosen field, carry out extensive and original research and submit a substantial thesis on your findings. Your thesis will be assessed by external examiners and will be judged on the quality of original research and contribution to the knowledge of the subject.

You’ll be required to commit to three or four years of full-time study (or part-time equivalent) and will be supervised by academic staff members. Once you graduate, you’ll be eligible to teach in your chosen field at a university level or work in a specialised position."
What is a Masters Degree?,"A Masters Degree allows you to become a specialist in your chosen field. Typically students are required you to demonstrate a high-order overview of a specific field of study or area of professional practice. When you graduate, you’ll possess advanced knowledge of a specialised body of theoretical and applied topics, high order skills in analysis, critical evaluation, or professional application; and the ability to solve complex problems and think rigorously and independently. You will generally be required to undertake academic coursework and in some cases, preparation for professional practice."
What is a major unit?,"A major unit refers to what ‘specialisation’ you would like to focus on within your degree. For example, as a Bachelor of Business Administration student, you may wish to major in a specialisation area such as marketing. For current students, more information can be found in theStudy Resourcessection of our Student Portal."
What is a Graduate Diploma?,"A Graduate Diploma will allow you to complete specialisation studies in a smaller amount of time and at a reduced cost of a Masters degree. Most of the time you will also have the option of transferring to a masters degree in the same topic. Once you complete your graduate diploma, you’ll have advanced knowledge and skills for professional, highly skilled work or further learning."
What is a Graduate Certificate?,"Completing a Graduate Certificate will help you upgrade your qualifications or give you advanced practical skills required in specialist industries. If you haven’t earned a bachelor degree, many programs may allow you entry provided you have sufficient relevant work experience in your chosen field. Graduate Certificates generally require a commitment of six months full-time study, or an equivalent part-time commitment."
What is a Grade Point Average (GPA)?,"A GPA is a calculation for higher education results. There are two GPA scales commonly used in Australia and overseas, the four-point and the seven-point scale. These scales differ in the grade points that they allocate to each grade but the method of calculation is the same. Swinburne uses a four-point method. To find out how to calculate a GPA visit our Grade Point Average page."
What is a good option for upskilling during this time?,"The best study option for you will depend on your current level of education, as well as the amount of available time you have to commit. For those looking to step up and earn a promotion or just upskill in general, ashort coursemight be the best choice.

AGraduate Certificateis also a good option for anyone looking to be educated over a short period of time.

If you are unsure about what level of study or time commitment is best for you, utilise our Study Time Calculator orview our range of coursestoday."
What is a Double Degree?,"A double degree is a university degree where you study two single degrees at the same time, giving you the option of specialising in two different fields. To be eligible to enrol in a double degree, you must meet all the entry requirements of both degree programs. Even though you’ll be doubling your opportunities and giving yourself more career flexibility once you graduate, a double degree generally doesn’t take double the time to complete.

In most instances, you’ll benefit from cross-crediting elective units, which will reduce your study costs and time compared to if you were studying separate bachelor degrees at different times. Usually a double degree will take four years full time study or part-time equivalent."
What is a Diploma?,"Completing a Diploma or Advanced Diploma certificate will give you practical skills for work as well as the opportunity to progress to another qualification. At Swinburne, you’ll be taught by experienced teachers and have access to equipment used in industry to help prepare you for your future."
What is a Commonwealth Supported Place?,"The Australian Government subsidises an Australian citizen student’s education by giving them a Commonwealth supported place. By doing this they are paying part of the course fees directly to the university and the student pays the remainder. If you are a domestic undergraduate student, you are eligible for a Commonwealth supported place."
What is a Certificate?,"Certificates are the most basic qualification available to secondary school students and beyond. Offered by TAFEs, Community Education Centres and Registered Training Providers, Certificates I, II, III and IV will prepare you for employment or further education and training.Certificate I:Will give you skills when beginning a profession or help you gain community involvement.Certificate II:You’ll build on knowledge and skills to work in a defined context and undertake further learning.Certificate III:You’ll learn more in-depth theoretical and practical skills for work or further learning.Certificate IV:You’ll learn theoretical and practical skills for specialised work or further learning."
What is a Bachelor Degree?,"Bachelor degrees are offered by universities and are presented to you when you complete an undergraduate course of study. Depending on the field of study, the duration of the degree can range from three to five years of full-time study (or part-time equivalent). Most bachelor degrees are recognised worldwide. A Bachelor degree teaches you skills such as research and analytical thinking and is recognised as a higher qualification to diplomas or certificates. Where a Diploma will give you the skills you need for your job, a Bachelor will set you up for your career."
